,time,count,frame
288,2020-01-22 01:55:35.999999904,0,288
289,2020-01-22 01:56:00.083333237,0,289
290,2020-01-22 01:56:24.166666570,0,290
291,2020-01-22 01:56:48.249999903,0,291
292,2020-01-22 01:57:12.333333236,0,292
293,2020-01-22 01:57:36.416666569,0,293
294,2020-01-22 01:58:00.499999902,0,294
295,2020-01-22 01:58:24.583333235,0,295
296,2020-01-22 01:58:48.666666568,0,296
297,2020-01-22 01:59:12.749999901,0,297
298,2020-01-22 01:59:36.833333234,0,298
299,2020-01-22 02:00:00.916666567,0,299
300,2020-01-22 02:00:24.999999900,0,300
301,2020-01-22 02:00:49.083333233,0,301
302,2020-01-22 02:01:13.166666566,0,302
303,2020-01-22 02:01:37.249999899,0,303
304,2020-01-22 02:02:01.333333232,0,304
305,2020-01-22 02:02:25.416666565,0,305
306,2020-01-22 02:02:49.499999898,0,306
307,2020-01-22 02:03:13.583333231,0,307
308,2020-01-22 02:03:37.666666564,0,308
309,2020-01-22 02:04:01.749999897,0,309
310,2020-01-22 02:04:25.833333230,0,310
311,2020-01-22 02:04:49.916666563,0,311
312,2020-01-22 02:05:13.999999896,0,312
313,2020-01-22 02:05:38.083333229,0,313
314,2020-01-22 02:06:02.166666562,0,314
315,2020-01-22 02:06:26.249999895,0,315
316,2020-01-22 02:06:50.333333228,0,316
317,2020-01-22 02:07:14.416666561,0,317
318,2020-01-22 02:07:38.499999894,0,318
319,2020-01-22 02:08:02.583333227,0,319
320,2020-01-22 02:08:26.666666560,0,320
321,2020-01-22 02:08:50.749999893,0,321
322,2020-01-22 02:09:14.833333226,0,322
323,2020-01-22 02:09:38.916666559,0,323
324,2020-01-22 02:10:02.999999892,0,324
325,2020-01-22 02:10:27.083333225,0,325
326,2020-01-22 02:10:51.166666558,0,326
327,2020-01-22 02:11:15.249999891,0,327
328,2020-01-22 02:11:39.333333224,0,328
329,2020-01-22 02:12:03.416666557,0,329
330,2020-01-22 02:12:27.499999890,0,330
331,2020-01-22 02:12:51.583333223,0,331
332,2020-01-22 02:13:15.666666556,0,332
333,2020-01-22 02:13:39.749999889,0,333
334,2020-01-22 02:14:03.833333222,0,334
335,2020-01-22 02:14:27.916666555,0,335
336,2020-01-22 02:14:51.999999888,0,336
337,2020-01-22 02:15:16.083333221,0,337
338,2020-01-22 02:15:40.166666554,0,338
339,2020-01-22 02:16:04.249999887,0,339
340,2020-01-22 02:16:28.333333220,0,340
341,2020-01-22 02:16:52.416666553,0,341
342,2020-01-22 02:17:16.499999886,0,342
343,2020-01-22 02:17:40.583333219,0,343
344,2020-01-22 02:18:04.666666552,0,344
345,2020-01-22 02:18:28.749999885,0,345
346,2020-01-22 02:18:52.833333218,0,346
347,2020-01-22 02:19:16.916666551,0,347
348,2020-01-22 02:19:40.999999884,0,348
349,2020-01-22 02:20:05.083333217,0,349
350,2020-01-22 02:20:29.166666550,0,350
351,2020-01-22 02:20:53.249999883,0,351
352,2020-01-22 02:21:17.333333216,0,352
353,2020-01-22 02:21:41.416666549,0,353
354,2020-01-22 02:22:05.499999882,0,354
355,2020-01-22 02:22:29.583333215,0,355
356,2020-01-22 02:22:53.666666548,0,356
357,2020-01-22 02:23:17.749999881,0,357
358,2020-01-22 02:23:41.833333214,0,358
359,2020-01-22 02:24:05.916666547,0,359
360,2020-01-22 02:24:29.999999880,0,360
361,2020-01-22 02:24:54.083333213,0,361
362,2020-01-22 02:25:18.166666546,0,362
363,2020-01-22 02:25:42.249999879,0,363
364,2020-01-22 02:26:06.333333212,0,364
365,2020-01-22 02:26:30.416666545,0,365
366,2020-01-22 02:26:54.499999878,0,366
367,2020-01-22 02:27:18.583333211,0,367
368,2020-01-22 02:27:42.666666544,0,368
369,2020-01-22 02:28:06.749999877,0,369
370,2020-01-22 02:28:30.833333210,0,370
371,2020-01-22 02:28:54.916666543,0,371
372,2020-01-22 02:29:18.999999876,0,372
373,2020-01-22 02:29:43.083333209,0,373
374,2020-01-22 02:30:07.166666542,0,374
375,2020-01-22 02:30:31.249999875,0,375
376,2020-01-22 02:30:55.333333208,0,376
377,2020-01-22 02:31:19.416666541,0,377
378,2020-01-22 02:31:43.499999874,0,378
379,2020-01-22 02:32:07.583333207,0,379
380,2020-01-22 02:32:31.666666540,0,380
381,2020-01-22 02:32:55.749999873,0,381
382,2020-01-22 02:33:19.833333206,0,382
383,2020-01-22 02:33:43.916666539,0,383
384,2020-01-22 02:34:07.999999872,0,384
385,2020-01-22 02:34:32.083333205,0,385
386,2020-01-22 02:34:56.166666538,0,386
387,2020-01-22 02:35:20.249999871,0,387
388,2020-01-22 02:35:44.333333204,0,388
389,2020-01-22 02:36:08.416666537,0,389
390,2020-01-22 02:36:32.499999870,0,390
391,2020-01-22 02:36:56.583333203,0,391
392,2020-01-22 02:37:20.666666536,0,392
393,2020-01-22 02:37:44.749999869,0,393
394,2020-01-22 02:38:08.833333202,0,394
395,2020-01-22 02:38:32.916666535,0,395
396,2020-01-22 02:38:56.999999868,0,396
397,2020-01-22 02:39:21.083333201,0,397
398,2020-01-22 02:39:45.166666534,0,398
399,2020-01-22 02:40:09.249999867,0,399
400,2020-01-22 02:40:33.333333200,0,400
401,2020-01-22 02:40:57.416666533,0,401
402,2020-01-22 02:41:21.499999866,0,402
403,2020-01-22 02:41:45.583333199,0,403
404,2020-01-22 02:42:09.666666532,0,404
405,2020-01-22 02:42:33.749999865,0,405
406,2020-01-22 02:42:57.833333198,0,406
407,2020-01-22 02:43:21.916666531,0,407
408,2020-01-22 02:43:45.999999864,0,408
409,2020-01-22 02:44:10.083333197,0,409
410,2020-01-22 02:44:34.166666530,0,410
411,2020-01-22 02:44:58.249999863,0,411
412,2020-01-22 02:45:22.333333196,0,412
413,2020-01-22 02:45:46.416666529,0,413
414,2020-01-22 02:46:10.499999862,0,414
415,2020-01-22 02:46:34.583333195,0,415
416,2020-01-22 02:46:58.666666528,0,416
417,2020-01-22 02:47:22.749999861,0,417
418,2020-01-22 02:47:46.833333194,0,418
419,2020-01-22 02:48:10.916666527,0,419
420,2020-01-22 02:48:34.999999860,0,420
421,2020-01-22 02:48:59.083333193,0,421
422,2020-01-22 02:49:23.166666526,0,422
423,2020-01-22 02:49:47.249999859,0,423
424,2020-01-22 02:50:11.333333192,0,424
425,2020-01-22 02:50:35.416666525,0,425
426,2020-01-22 02:50:59.499999858,0,426
427,2020-01-22 02:51:23.583333191,0,427
428,2020-01-22 02:51:47.666666524,0,428
429,2020-01-22 02:52:11.749999857,0,429
430,2020-01-22 02:52:35.833333190,0,430
431,2020-01-22 02:52:59.916666523,0,431
432,2020-01-22 02:53:23.999999856,0,432
433,2020-01-22 02:53:48.083333189,0,433
434,2020-01-22 02:54:12.166666522,0,434
435,2020-01-22 02:54:36.249999855,0,435
436,2020-01-22 02:55:00.333333188,0,436
437,2020-01-22 02:55:24.416666521,0,437
438,2020-01-22 02:55:48.499999854,0,438
439,2020-01-22 02:56:12.583333187,0,439
440,2020-01-22 02:56:36.666666520,0,440
441,2020-01-22 02:57:00.749999853,0,441
442,2020-01-22 02:57:24.833333186,0,442
443,2020-01-22 02:57:48.916666519,0,443
444,2020-01-22 02:58:12.999999852,0,444
